Step 7400/900000, Total Loss: 4.3607, Mel Loss: 1.4628, Mel PostNet Loss: 1.4684, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4295, Binarization Loss: 0.0000
Step 7500/900000, Total Loss: 4.2353, Mel Loss: 1.5591, Mel PostNet Loss: 1.5572, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.1190, Binarization Loss: 0.0000
Step 7600/900000, Total Loss: 4.4210, Mel Loss: 1.6523, Mel PostNet Loss: 1.6490, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.1198, Binarization Loss: 0.0000
Step 7700/900000, Total Loss: 4.5968, Mel Loss: 1.5740, Mel PostNet Loss: 1.5560, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4668, Binarization Loss: 0.0000
Step 7800/900000, Total Loss: 5.4927, Mel Loss: 1.8981, Mel PostNet Loss: 1.8931, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.7015, Binarization Loss: 0.0000
Step 7900/900000, Total Loss: 4.8774, Mel Loss: 1.7422, Mel PostNet Loss: 1.7391, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3961, Binarization Loss: 0.0000
Step 8000/900000, Total Loss: 3.9460, Mel Loss: 1.4593, Mel PostNet Loss: 1.4702, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.0166, Binarization Loss: 0.0000
Step 8100/900000, Total Loss: 4.0859, Mel Loss: 1.4794, Mel PostNet Loss: 1.4731, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.1335, Binarization Loss: 0.0000
Step 8200/900000, Total Loss: 4.3966, Mel Loss: 1.5968, Mel PostNet Loss: 1.5837, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2161, Binarization Loss: 0.0000
Step 8300/900000, Total Loss: 4.6456, Mel Loss: 1.4941, Mel PostNet Loss: 1.4845, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.6671, Binarization Loss: 0.0000
Step 8400/900000, Total Loss: 4.3008, Mel Loss: 1.4556, Mel PostNet Loss: 1.4521, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3931, Binarization Loss: 0.0000
Step 8500/900000, Total Loss: 4.2167, Mel Loss: 1.4456, Mel PostNet Loss: 1.4407, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3304, Binarization Loss: 0.0000
Step 8600/900000, Total Loss: 4.8284, Mel Loss: 1.6201, Mel PostNet Loss: 1.6109, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5974, Binarization Loss: 0.0000
Step 8700/900000, Total Loss: 3.8801, Mel Loss: 1.3179, Mel PostNet Loss: 1.3175, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2447, Binarization Loss: 0.0000
Step 8800/900000, Total Loss: 4.5727, Mel Loss: 1.5578, Mel PostNet Loss: 1.5503, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4645, Binarization Loss: 0.0000
Step 8900/900000, Total Loss: 3.9607, Mel Loss: 1.3783, Mel PostNet Loss: 1.3782, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2042, Binarization Loss: 0.0000
Step 9000/900000, Total Loss: 4.6678, Mel Loss: 1.7631, Mel PostNet Loss: 1.7554, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.1493, Binarization Loss: 0.0000
Step 9100/900000, Total Loss: 4.0255, Mel Loss: 1.3509, Mel PostNet Loss: 1.3407, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3339, Binarization Loss: 0.0000
Step 9200/900000, Total Loss: 4.1086, Mel Loss: 1.4560, Mel PostNet Loss: 1.4526, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2000, Binarization Loss: 0.0000
Step 9300/900000, Total Loss: 4.0688, Mel Loss: 1.3513, Mel PostNet Loss: 1.3497, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3678, Binarization Loss: 0.0000
Step 9400/900000, Total Loss: 3.8104, Mel Loss: 1.3875, Mel PostNet Loss: 1.3916, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.0312, Binarization Loss: 0.0000
Step 9500/900000, Total Loss: 4.6515, Mel Loss: 1.5125, Mel PostNet Loss: 1.5021, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.6369, Binarization Loss: 0.0000
